[00:03:38] [info] HAZEL: Creating window Hazelnut (1600, 900)
[00:03:38] [info] HAZEL: OpenGL Info:
[00:03:38] [info] HAZEL:   Vendor: NVIDIA Corporation
[00:03:38] [info] HAZEL:   Renderer: NVIDIA GeForce GTX 760/PCIe/SSE2
[00:03:38] [info] HAZEL:   Version: 4.6.0 NVIDIA 473.47
[00:03:38] [warning] HAZEL: Pixel data = -1
[00:03:38] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:39] [warning] HAZEL: Pixel data = -1
[00:03:43] [trace] HAZEL: Deserializing Scene 'Untitled'
[00:03:43] [trace] HAZEL: Deserialized entity with ID = 123456789, name = Green Square
[00:03:43] [trace] HAZEL: Deserialized entity with ID = 123456789, name = Red Square
[00:03:43] [trace] HAZEL: Deserialized entity with ID = 123456789, name = Camera A
[00:03:43] [trace] HAZEL: Deserialized entity with ID = 123456789, name = Camera B
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = -1
[00:03:43] [warning] HAZEL: Pixel data = 50
[00:03:43] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = 50
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
